Category,URL
negligence,https://raw.githubusercontent.com/vietanh00/pbi_data_breaches/main/icons-method/negligence.png
hacked,https://raw.githubusercontent.com/vietanh00/pbi_data_breaches/main/icons-method/hacked.png
bad actor,https://raw.githubusercontent.com/vietanh00/pbi_data_breaches/main/icons-method/bad%20actor.png
poor security,https://raw.githubusercontent.com/vietanh00/pbi_data_breaches/main/icons-method/poor%20security.png
other,https://raw.githubusercontent.com/vietanh00/pbi_data_breaches/main/icons-method/unknown.png
